"","precio_gasoleo_a","rotulo","direccion","localidad","provincia"
"837",NA,"SCAT","CALLE SECOYA, 28","MADRID","MADRID"
"838",NA,"ALIARA ENERGIA","CALLE VIA DE LOS POBLADOS, 128","MADRID","MADRID"
"839",NA,"REPSOL BUTANO","PASEO ERMITA DEL SANTO, 80","MADRID","MADRID"
"840",NA,"NATURGY","CALLE FUEMBELLIDA, 3","MADRID","MADRID"
"841",NA,"NATURGY","AVENIDA EJE CENTRAL, 7","MADRID","MADRID"
"842",NA,"REPSOL","CALLE MENDEZ ALVARO, S/N","MADRID","MADRID"
"843",NA,"MADRID WETAXI GLP","CALLE ISAAC JIMENEZ, 3","MADRID","MADRID"
"844",NA,"NATURGY","CALLE RIVAS, 14","MADRID","MADRID"
"845",NA,"ALIARA ENERGÍA","CALLE TORRES QUEVEDO, 6","MOSTOLES","MADRID"
"846",NA,"NATURGY","CARRETERA DE PARLA A PINTO M-408 KM. S/N","PARLA","MADRID"
"847",NA,"BP PINTO","CARRETERA M-408 PINTO A PARLA KM. 5","PINTO","MADRID"
"848",NA,"CAB","CALLE TURBINA (DE LA), 2","RIVAS-VACIAMADRID","MADRID"
"849",NA,"ALIARA ENERGÍA","AVENIDA DE LA TÉCNICA, 2","RIVAS-VACIAMADRID","MADRID"
"850",NA,"MOLGAS","CALLE CERRAJEROS DE LOS, 10","SAN FERNANDO DE HENARES","MADRID"
"851",NA,"HAM","AUTOVIA NACIONAL I KM. 26,200","SAN SEBASTIAN DE LOS REYES","MADRID"
"852",NA,"HAM","CALLE NARCISO MONTURIOL, 28","VALDEMORO","MADRID"
"853",NA,"HAM","CALLE TAMBORA, 4","VELILLA DE SAN ANTONIO","MADRID"
